State/UTs,Crime Heads,Below 18 Years,Between 18-30 Years,Between 30-45 Years,Between 45-60 Years,Above 60 Years,Total
LAKSHADWEEP,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
PUDUCHERRY,FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
TOT (UTS),FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,0,0,0,0,0
TOT (ALL INDIA),FAILURE - OF COMPLIANCE OR ORDERS OF CERTIFYING AUTHORITY (SECTION 68    IT ACT),0,1,2,0,0,3
ANDHRA PRADESH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
ARUNACHAL PRADESH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
ASSAM,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
BIHAR,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
CHHATTISGARH,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
GOA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
GUJARAT,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
HARYANA,FAILURE - TO ASSIST IN DECRYPTING THE INFORMATION INTERCEPTED BY GOVT AGENCY (SECTION 69 IT ACT),0,0,0,0,0,0
